shot_id,stt_text,characters,location,actions,visual_details,mood,narrative,keywords,detailed_caption,start_time,end_time
shot_012,아 망했다 이거 공짜 발표 못 쓴다 이제 야 기정아 어 야 윗집 아줌마는 IP타임 암호를 거셨다 드디어 아 암호 이래서 구까지 눌러봤어? 어어 안돼 반대 순서로도 해봐 아 안된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안되는 거야? 그치 야 김기태 이 씨발 잘 척하지 말고,최우식 (기우) | 박소담 (기정),생활감이 느껴지는 어두운 방,기우(최우식)가 휴대폰을 들여다보며 코와 얼굴을 문지른다. 기우(최우식)가 휴대폰을 움직이며 주변을 살펴본다. 기정(박소담)이 연두색 수건을 들고 방 안으로 들어온다.,"어두운 방 안에서 기우(최우식)가 회색 셔츠를 입고 휴대폰을 본다. 그는 얼굴을 문지르는 행동을 반복한다. 방에는 창문, 선풍기, 책장, 옷가지 등이 어지럽게 놓여 있다. 창밖으로는 사람들이 오가는 모습이 흐릿하게 보인다. 기정(박소담)은 연두색 수건을 어깨에 걸치고 방으로 들어서서 기우(최우식) 옆을 지나간다.","일상적이고 평범한, 다소 침체된 분위기","한 젊은 남성(기우)이 휴대폰을 보며 불편한 듯한 행동을 하는 동안, 한 젊은 여성(기정)이 수건을 들고 등장하여 이들의 평범한 일상이 펼쳐지는 장면이다.",영화 | 기우 | 기정 | 최우식 | 박소담 | 휴대폰 | 일상 | 방 | 얼굴 문지름 | 수건,"영화의 한 장면에서, 어두운 방 안의 기우(최우식)가 회색 셔츠를 입고 휴대폰을 들여다보고 있다. 그는 손가락으로 코와 얼굴을 문지르며 미간을 찌푸리는 등 불편한 듯한 행동을 보인다. 방 뒤편 창문 너머로는 바깥 풍경과 오가는 사람들이 희미하게 보이며, 방 안에는 선풍기, 책장, 옷가지 등이 어지럽게 놓여 있어 생활감이 느껴진다. 잠시 후, 기정(박소담)이 연두색 수건을 들고 방 안으로 들어와 기우(최우식)의 옆을 지나간다. 이 장면에서는 뚜렷한 대화나 음악 없이 배경 소음만 들리며, 등장인물들의 일상적인 모습을 보여준다.",0:01:41,0:01:53
shot_013,아 망했다 이거 공짜 발표 못 쓴다 이제 야 기정아 어 야 윗집 아줌마는 IP타임 암호를 거셨다 드디어 아 암호 이래서 구까지 눌러봤어? 어 안 돼 반대 순서로도 해봐 아 안 된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안 되는 거야? 그치 야 김기태 이 씨발 잘 척하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 이 씨발 개에게 뭐야?,한 여성,정돈되지 않은 실내 공간,실내를 걸어가는 듯한 움직임,"카메라가 한 여성의 뒤를 따라가는 시점이다. 여성은 긴 검은색 머리카락을 가졌고, 녹색 상의를 입은 모습이다. 화면 왼쪽으로는 옷가지, 선반, 상자 등으로 어수선하게 정돈되지 않은 실내 공간이 보인다. 오른쪽 벽에는 붉은색 장식품이 걸려 있으며, 전체적으로 어두운 조명이다.","일상적이고 차분하지만, 다소 어수선한 분위기",한 여성이 사적인 공간인 듯한 방 안을 이동하고 있다. 주변의 정돈되지 않은 모습은 평범하거나 다소 팍팍한 생활 환경을 짐작하게 한다.,실내 | 여성 | 뒷모습 | 이동 | 어수선함 | 생활 공간,"정돈되지 않은 실내에서 한 여성이 걸어가고 있다. 카메라는 긴 검은색 머리카락과 녹색 상의를 입은 여성의 뒷모습을 따라가며, 왼쪽에는 옷가지와 잡동사니가 어수선하게 놓인 선반과 상자들이 보인다. 오른쪽 벽에는 붉은색 장식품이 걸려 있으며, 전체적으로 어둡고 차분한 분위기이다. 특정 음성은 들리지 않지만, 인물의 일상적인 이동과 주변의 생활 환경을 엿볼 수 있는 장면이다.",0:01:53,0:01:54
shot_014,야 기정아 어 야 윗집 아줌마는 ip타임 암호를 거셨다 드디어 아 암호 1에서 9까지 눌러봤어? 어어 안돼 반대 순서로도 해봐 아 안된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안되는거야? 그치 야 김기택 이 씨X 잘한척 하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 씨X 개여기 뭐야? 응?,정혜진(충숙) | 한 남성 | 한 사람,집 안방 또는 거실,한 남성이 휴대폰을 보고 있다 정혜진(충숙)이 바닥에 앉아 뜨개질을 하고 있다 한 사람이 바닥에 누워있다,"어두운 실내에서 한 남성이 등지고 서서 휴대폰을 들여다보고 있다. 바닥에는 정혜진(충숙)이 옅은 초록색 상의와 남색 하의를 입고 앉아 뜨개질 같은 손작업을 하고 있으며, 옆으로는 다른 한 사람이 바닥에 납작 엎드려 누워있다. 방 안에는 장롱과 선풍기, 옷가지 등이 놓여있어 어수선한 분위기이다.","차분함, 약간의 답답함","한 남성이 휴대폰을 보는 동안 정혜진(충숙)은 바닥에 앉아 뜨개질을 하고 있으며, 그 옆으로 다른 한 사람이 누워 휴식을 취하고 있다. 전체적으로 차분하고 정적인 가정의 모습이 연출되지만, 좁고 어수선한 방 안의 풍경이 답답한 분위기를 더한다.",실내 | 가정 | 휴대폰 | 뜨개질 | 휴식 | 어수선함 | 차분함,"어두운 실내에서 한 남성이 등지고 서서 휴대폰을 들여다보고 있다. 바닥에는 정혜진(충숙)이 옅은 초록색 상의와 남색 하의를 입고 앉아 뜨개질 같은 손작업을 하고 있으며, 그녀의 옆으로는 다른 한 사람이 바닥에 납작 엎드려 누워있다. 방 안에는 장롱과 선풍기, 옷가지 등이 놓여있어 어수선한 분위기이다. 이들은 각자의 활동에 집중하며 특별한 대화 없이 차분하고 정적인 가정의 모습을 보여준다.",0:01:54,0:02:07
shot_015,"어, 안 돼. 반대 순서로도 해봐. 안 된다니까. 뭐야 그럼. 그 문자도 카톡이고 다 안 되는 거야? 그치. 야, 김기택. 이 씨X 잘한 척하지 말고. 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 이 씨X 개그기 뭐야? 응? 기우야. 예, 아버지. 와이파이 높게 들어야 돼, 높게.",장혜진 (충숙) | 송강호 (기택) | 한 남성,작고 낡은 방 안,장혜진(충숙)이 바닥에 앉아 뜨개질을 한다. 한 남성이 휴대폰을 보며 서 있다가 방 안으로 걸어 들어간다. 송강호(기택)가 방으로 들어와 바닥에 앉아 장혜진(충숙)과 마주 본다. 장혜진(충숙)과 송강호(기택)가 서로를 바라보며 대화한다.,"좁고 어두운 방 안에는 옷가지가 걸린 행거와 여러 물건들이 쌓여 있다. 장혜진(충숙)은 녹색 상의를 입고 바닥에 앉아 뜨개질을 하고 있으며, 송강호(기택)는 갈색 상의를 입고 앉아있다. 방 문 너머로 다른 방의 모습이 희미하게 보인다.","일상적, 차분함",좁은 방 안에서 가족 구성원들이 각자의 일상적인 활동을 하거나 서로 대화를 나누는 모습이 그려진다. 소박하고 생활감이 느껴지는 공간에서 가족의 삶이 지속되고 있다.,일상 | 가족 | 방 | 대화 | 뜨개질 | 휴대폰 | 생활감,"좁고 낡은 방 안에서 장혜진(충숙)이 바닥에 앉아 뜨개질을 하고 있다. 그 뒤편 방 문 너머로 한 남성이 휴대폰을 들여다보며 서 있다가 방 안쪽으로 걸어 들어간다. 이어서 송강호(기택)가 방으로 들어와 장혜진(충숙) 맞은편 바닥에 앉는다. 두 사람은 서로를 바라보며 대화를 나누고, 장혜진(충숙)은 계속해서 손으로 뜨개질을 이어간다. 방 한쪽에는 옷가지들이 걸려있고, 주변에는 여러 물건들이 쌓여 있어 생활감이 느껴지는 공간이다.",0:02:07,0:02:18
shot_016,반대 순서로도 해봐 아 안된다니까 뭐야 그럼 그 문자도 카톡이고 다 안되는거야? 그치 야 김기택 이 씨X 잘한 척 하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 계획이 뭐야? 응? 기호야 예 아버지 와이파이 높게 들어야 돼 높게 구석구석 사사시켜야 돼,,벽에 걸린 액자가 있는 실내 공간,,"거친 질감의 벽에 두 개의 액자가 걸려 있다. 왼쪽 액자에는 빨강, 하양, 파랑 삼색 리본이 달린 은색 메달이 전시되어 있다. 메달에는 '제43회 전국육상경기대회'라는 글자와 함께 작은 글자들이 새겨져 있으며, 액자 하단에는 '전국육상경기대회 포환던지기 3위 박명숙 1994. 5. 1. 대한민국육상연맹'이라고 적힌 명패가 부착되어 있다. 오른쪽 액자에는 한 여성 운동선수가 육상 경기장에서 창던지기를 하는 모습이 담긴 사진이 들어 있다. 그녀는 붉은색 상의와 어두운색 하의를 입고 등번호 '474'를 달고 있으며, 창을 잡고 힘껏 던지려는 순간의 역동적인 자세를 취하고 있다. 전체적으로 어둡고 차분한 분위기이다.","회상적, 성취감","벽에 걸린 액자들은 과거의 스포츠 성과와 추억을 보여주며, 인물의 과거 이력이나 중요한 순간을 암시한다. 포환던지기 메달과 창던지기 사진은 운동선수로서의 삶을 엿볼 수 있게 한다.",액자 | 메달 | 사진 | 스포츠 | 육상 | 포환던지기 | 창던지기 | 운동선수 | 성취 | 기념품,"어두운 실내 공간의 거친 벽에 두 개의 액자가 걸려 있다. 왼쪽 액자 안에는 빨강, 하양, 파랑 삼색의 리본이 달린 은색 메달이 전시되어 있으며, 메달 아래에는 '전국육상경기대회 포환던지기 3위 박명숙 1994. 5. 1. 대한민국육상연맹'이라는 문구가 새겨진 명패가 부착되어 있다. 오른쪽 액자에는 붉은색 상의와 어두운색 하의를 입고 등번호 '474'가 새겨진 한 여성 운동선수가 육상 경기장에서 창던지기 자세를 취하고 있는 역동적인 사진이 들어 있다. 사진 속 운동선수는 창을 높이 들고 힘껏 던지려는 순간이며, 배경에는 푸른 나무들이 보인다. 전체적인 분위기는 과거의 성과를 회상하는 듯 차분하고 성취감이 느껴진다.",0:02:18,0:02:22
shot_017,어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 씨발 개그기 뭐야? 응? 기우야 와이파이 높게 들어야 돼 높게 구석구석 사사시켜야 돼 아우 씨 꼭둥이 어? 여기,기우(최우식) | 기택(송강호),지하 주택 주방/거실,기우(최우식)가 휴대폰을 보고 있다. 기우(최우식)가 팔을 머리 위로 들어 올린다. 기택(송강호)이 식탁에 앉아 비닐봉투에서 음식을 꺼내고 있다. 기택(송강호)이 빵으로 추정되는 음식을 먹고 있다.,"낡고 협소해 보이는 지하 주택의 내부이다. 어두운 갈색 계열의 타일 벽면과 오래된 가구들이 보인다. 최우식(기우)은 회색 티셔츠와 어두운 바지를 입고 있으며, 송강호(기택)는 갈색 티셔츠를 입고 있다. 식탁 위에는 투명한 물병과 하얀 머그잔이 놓여 있다.","일상적, 차분한, 소박한","낡은 지하 주택의 주방 겸 거실에서 최우식(기우)과 송강호(기택) 두 남성이 각자의 일상적인 활동을 하고 있다. 최우식(기우)은 휴대폰을 확인하고 스트레칭하는 듯한 모습을 보이며, 송강호(기택)는 식탁에 앉아 간단한 식사를 준비하고 있다. 이는 한 가족의 소박하고 차분한 일상 풍경을 보여준다.",지하 주택 | 일상 | 가족 | 식사 | 휴대폰 | 주방 | 송강호 | 최우식 | 기택 | 기우 | 소박한,"낡은 지하 주택으로 보이는 공간에서 최우식(기우)과 송강호(기택) 두 남성이 각자의 일상적인 행동을 하고 있다. 최우식(기우)은 회색 티셔츠와 어두운 바지를 입고 서서 휴대폰을 보고 있다가 팔을 머리 위로 들어 올린다. 송강호(기택)는 갈색 티셔츠를 입고 식탁에 앉아 비닐봉투에서 빵으로 추정되는 음식을 꺼내어 먹고 있다. 주변에는 낡은 가구와 어두운 타일 벽면이 보이며, 식탁 위에는 투명한 물병과 하얀 머그잔이 놓여 있다. 조용한 실내 분위기 속에서 두 남성의 소박한 일상이 펼쳐진다.",0:02:22,0:02:28
shot_018,응? 기우야 예 아버지 와이파이 높게 들어야 돼 높게 구석구석 살살 해야 돼 꼭둥이 어 여기 잡힌다 진짜? 잡혔어? 어 잡히지 이거 이거 커피나라 2지 이 근처에 카페 새로 생긴건가? 뭐야 왜 나 안 잡히지? 일로 탁상 올라와봐 얘들아 되는거야? 어 돼 아 그러면은 카톡 한번 확인해봐 피자시대 연락준다 그랬거든,,어둡고 낡은 복도,한 사람이 스마트폰을 들고 천장을 향해 비춘다 스마트폰을 천천히 내린다,"어둡고 낡은 복도의 낮은 천장이 화면을 가득 채우고 있다. 화면 중앙에 한 손이 스마트폰을 들고 천장을 향해 비추고 있으며, 스마트폰 화면에는 불이 켜져 한국어 텍스트가 보인다. 천장에는 복잡하게 연결된 전선들이 지나가고 있으며, 벽면은 지저분하고 낡은 모습이다. 스마트폰이 천천히 내려가자, 복도 저편에 희미하게 켜진 단출한 전등 하나가 보인다. 복도는 안쪽으로 갈수록 어두워지며, 전체적으로 녹색조를 띠는 칙칙한 분위기이다.",음울하고 황량하며 낡은 분위기. 다소 불안하거나 으스스한 느낌을 준다.,어둡고 낡은 공간에서 한 사람이 스마트폰을 이용해 무언가를 확인하거나 비추려는 듯한 모습을 보인다. 이 행동은 주변 환경의 낡고 황량한 분위기와 어우러져 미스터리하고 조용한 탐색의 순간을 연출한다.,스마트폰 | 어두운 복도 | 낡은 건물 | 천장 | 전선 | 미스터리 | 탐색 | 지하 | 불안,"어둡고 낡은 복도에서 한 사람이 스마트폰을 들고 천장을 향해 비추다가 천천히 내리는 장면이다. 낮은 천장은 전선들로 복잡하게 연결되어 있고 벽면은 지저분하다. 스마트폰 화면에는 불이 켜져 한국어 텍스트가 보이며, 복도 저편에는 희미하게 켜진 단출한 전등 하나가 공간을 겨우 밝히고 있다. 전체적으로 녹색조를 띠는 칙칙하고 황량한 분위기이며, 조용한 공간의 미세한 주변 소음만 들린다. 이 장면은 낡고 음울한 공간에서의 조용한 탐색 또는 확인의 순간을 보여주며 다소 불안한 느낌을 준다.",0:02:28,0:02:33
shot_019,이호야. 예 아버지. 와이파이. 높게 들어야 돼 높게. 구석구석 그 사사시... 그저 이... 해야 돼. 아우씨. 꼭둥이게. 어? 여기! 잡힌다! 진짜? 잡혔어? 어. 잡히지? 이거. 커피나라 투지. 이 근처에 카페 새로 생긴 건가? 뭐야? 왜 다 안 잡히지? 일로 바싹 올라가 봐. 얘들아. 되는 거야? 어. 돼. 자 그러면은 카톡 한 번 확인해 봐. 피자 시대 연락 준다 그랬거든. 어. 잠깐만. 어. 여깄네. 피자 시대.,송강호 (기택),실내 공간 (주방 또는 거실),송강호 (기택)가 음식을 먹고 있다 손으로 빵 조각을 뜯고 있다 혀를 살짝 내밀었다가 다시 넣는다,어두운 갈색 폴로 셔츠를 입은 송강호 (기택)가 화면 중앙에 앉아있다. 주변에는 낡고 푸른색 캐비닛과 어두운 벽이 보인다. 그는 손으로 빵이나 샌드위치 조각을 들고 먹고 있다. 중간에 혀를 살짝 내미는 모습도 보인다.,"일상적, 평온함, 식사 중",한 남자가 집 안에서 빵을 먹으며 잠시 생각에 잠긴 듯한 모습이다.,송강호 | 기택 | 식사 | 빵 | 실내 | 주방 | 일상,"어두운 실내 공간에서 송강호 (기택)가 어두운 갈색 폴로 셔츠를 입고 앉아있다. 그는 손으로 빵이나 샌드위치 조각을 들고 집중해서 먹고 있으며, 중간에 잠시 혀를 살짝 내밀었다가 넣는 모습도 보인다. 배경에는 낡은 푸른색 캐비닛과 어두운 벽이 보인다. 전체적으로 일상적이고 평온한 분위기이다.",0:02:33,0:02:42
shot_020,구석구석 살살 씻듯이 해야 돼. 아이씨. 꼭둥이. 어 여기 잡힌다. 진짜 잡혔어? 어 잡히지 이거 커피 나라 2지. 이 근처에 카페 새로 생긴 건가? 뭐야 왜 나 안 잡히지? 일로 다싹 올라와봐. 얘들아 되는 거야? 어 돼. 그러면은 카톡 한 번 확인해봐. 피자시대 연락 준다 그랬거든. 어 잠깐만. 어 여깄네 피자시대.,최우식(기우) | 박소담(기정) | 장혜진(충숙),낡고 비좁은 반지하 화장실과 인접한 공간,기우와 기정이 휴대폰 신호를 찾기 위해 화장실 구석구석을 돌아다닌다 기우는 변기 위에 쪼그려 앉아 휴대폰을 높이 든다 기정은 바닥에 쪼그려 앉아 휴대폰을 든다 충숙이 문틈으로 두 사람을 지켜본다,"낡은 타일로 마감된 비좁은 화장실 벽에는 옷가지와 수건이 걸려있고, 각종 욕실 용품들이 어지럽게 놓여있다. 기우와 기정이 휴대폰 신호를 잡으려 안간힘을 쓰고 있으며, 기우는 변기 위, 기정은 바닥에 쪼그려 앉아있다. 이후 충숙이 문틈으로 심각한 표정으로 이들을 응시한다.","절박함, 불안함, 답답함","기우와 기정은 반지하 주택의 유일한 휴대폰 신호 수신 구역인 낡고 비좁은 화장실에서 필사적으로 신호를 찾고 있다. 그들의 절박한 모습은 열악한 주거 환경을 암시하며, 이들을 지켜보는 충숙의 표정은 가족의 어려운 상황에 대한 깊은 걱정을 드러낸다.",반지하 | 화장실 | 휴대폰 | 신호 | 절박함 | 가난 | 생활고 | 가족 | 소음,"낡은 타일로 마감된 비좁은 화장실에서 최우식(기우)이 휴대폰을 높이 든 채 신호를 찾고 있다. 이어서 박소담(기정)이 들어와 함께 휴대폰을 들고 신호를 찾기 시작한다. 기우는 변기 위에 쪼그려 앉고, 기정은 그 앞에 바닥에 쪼그려 앉아 휴대폰을 이리저리 움직이며 필사적으로 신호를 잡으려 한다. 이들의 행동은 절박하고 답답한 분위기를 자아낸다. 잠시 후, 장혜진(충숙)이 화장실과 인접한 공간의 문틈으로 얼굴을 내밀어 이들을 걱정스럽게 지켜본다. 뚜렷한 대화는 들리지 않으며, 주변 생활 소음이 미세하게 들려 반지하 주택의 일상을 엿볼 수 있다.",0:02:42,0:03:03
shot_021,,박소담 (기정) | 최우식 (기우),좁고 낡은 화장실,박소담(기정)과 최우식(기우)은 각각 스마트폰을 들고 쪼그리고 앉아 있다. 두 사람은 화면에 집중하며 무언가를 찾고 있다. 최우식(기우)은 화장실 변기 옆에 앉아있다.,"두 인물은 낡고 비좁은 화장실 바닥에 쪼그리고 앉아 스마트폰을 응시하고 있다. 박소담(기정)은 왼쪽에, 최우식(기우)은 오른쪽에 위치하며, 최우식(기우)의 옆에는 오래된 변기가 보인다. 주변 벽은 하얀색 타일로 되어 있으나 얼룩지고 낡아 보인다. 선반과 각종 세면용품, 휴지 등이 어지럽게 놓여 있어 생활감이 느껴진다. 창문으로 추정되는 작은 개구부가 보이며, 전반적으로 어둡고 칙칙한 조명이다.","집중하는, 궁핍한, 답답한, 현실적인",가난한 환경 속에서 최우식(기우)과 박소담(기정) 남매가 생활에 필요한 와이파이 신호를 잡기 위해 가장 좁고 불편한 화장실까지 찾아 들어와 스마트폰을 들여다보고 있는 장면이다. 주변의 낡고 좁은 환경은 이들의 어려운 처지를 강조한다.,박소담 | 최우식 | 기정 | 기우 | 영화 | 기생충 | 화장실 | 스마트폰 | 와이파이 | 빈곤 | 집중 | 생활고,"영화 '기생충'의 한 장면으로, 박소담(기정)과 최우식(기우)이 낡고 비좁은 화장실 바닥에 쪼그리고 앉아 각자의 스마트폰을 응시하고 있다. 박소담(기정)은 왼쪽에, 최우식(기우)은 오래된 변기 옆 오른쪽에 위치해 있다. 두 사람 모두 화면에 시선을 고정하고 무언가를 집중해서 찾고 있는 모습이다. 주변 벽은 흰색 타일이지만 얼룩지고 낡아 보이며, 선반 위와 바닥에는 각종 생활용품들이 어지럽게 놓여 있어 전반적으로 궁핍하고 답답한 생활 환경을 보여준다. 조명은 어둡고 칙칙하여 장면의 분위기를 더한다. 배경 음악이나 대화 없이 조용한 실내 환경이며, 이들은 와이파이 신호를 찾기 위해 고군분투하는 듯한 모습을 보인다.",0:03:03,0:03:08
