shot_id,caption,start_time,end_time
shot_012,"어두운 실내에서 한 남성이 스마트폰을 위로 들고 고개를 들어 천장 쪽을 응시하고 있다. 남성은 입을 약간 벌리고 회색 셔츠를 입고 있다. 배경 왼쪽에는 창문 밖으로 흐릿한 외부 풍경이 보이며, 오른쪽에는 옷이 걸린 행거와 선반이 있다. 전체적으로 어두운 조명이 공간을 감싸고 있다.",00:01:41.309,00:01:52.862
shot_013,"어두운 실내 공간에서 한 인물이 뒷모습을 보이고 있다.
인물은 어두운 긴 머리카락을 늘어뜨리고 밝은 색 상의를 입고 있다.
인물의 주변 배경은 다소 어수선한 모습으로, 선반이나 가구 위에 여러 물건들이 놓여 있다.
전체적으로 어둡고 초점이 흐릿한 분위기이다.",00:01:52.862,00:01:54.239
shot_014,"이미지 전경에는 스마트폰을 들고 있는 한 인물의 뒷모습이 일부 보인다.
중앙 바닥에는 한 인물이 엎드려 누워 있으며, 그 옆에는 뜨개질 도구와 빨간색 실타래를 든 한 여성이 앉아 있다.
앉아 있는 여성의 다리에는 여러 붉은 흔적이 명확히 보인다.
배경으로는 선풍기, 다양한 물건들, 그리고 어두운 색의 나무 가구들이 놓여 있다.",00:01:54.239,00:02:07.335
shot_015,"한 여성이 낮은 곳에 앉아 가는 붉은색 물체를 손에 들고 작업하고 있다.
열린 문 너머의 방에는 한 남성이 서서 휴대폰으로 보이는 기기를 보고 있다.
방 한쪽에는 옷가지가 걸린 행거가 놓여 있고, 그 옆으로 한 인물이 누워 있는 모습이 보인다.
전체적으로 다소 어두운 실내 공간으로, 주변에 여러 생활 용품이 놓여 있다.",00:02:07.335,00:02:18.304
shot_016,"벽에 두 개의 액자가 나란히 걸려 있습니다.
왼쪽 액자에는 푸른색, 흰색, 붉은색 줄무늬 리본이 달린 은색 메달과 아래에 명패가 놓여 있습니다.
오른쪽 액자 속 사진에는 야외 운동장에서 운동복을 입은 한 여성이 힘껏 무언가를 던지는 순간이 담겨 있습니다.
이 액자들은 밝은 회색빛의 질감이 있는 벽에 걸려 있습니다.",00:02:18.304,00:02:21.933
shot_017,"실내 공간에 두 명의 남성이 있습니다.
오른쪽에 앉아있는 한 남성은 비닐봉투 안에 있는 내용물을 꺼내고 있으며, 다른 한 남성은 왼쪽에 서서 휴대폰을 들여다보고 있습니다.
두 인물 사이의 탁자 위에는 물병 하나와 컵 한 개가 놓여 있습니다.
배경으로는 옷이 걸린 벽, 여러 물건이 놓인 선반, 타일로 마감된 벽 등이 보입니다.",00:02:21.933,00:02:28.022
shot_018,"한 인물이 어두운 복도 안에서 스마트폰을 들고 있다. 스마트폰 화면은 밝게 켜져 있으며, 여러 줄의 정보가 보인다. 복도 천장에는 전선들이 불규칙하게 늘어져 있고, 중간쯤에 전등 하나가 희미하게 빛나고 있다. 전체적으로 어두운 분위기이며, 복도 끝에는 어두운 입구가 보인다.",00:02:28.022,00:02:32.610
shot_019,"어두운 실내에서 한 인물의 상반신과 두 손이 사진에 담겨 있다.
한 손에는 한입 베어 문 듯한 빵 종류의 음식을 들고 있으며, 다른 한 손은 펼쳐진 채 약간 들려 있다.
이 인물의 앞, 테이블 위에는 비닐에 싸인 샌드위치로 보이는 음식과 물병이 놓여 있다.
배경은 흐릿하게 처리되어 실내 환경의 일부를 보여준다.",00:02:32.610,00:02:41.869
shot_020,"욕실 내부를 담은 이미지입니다. 한 여성은 스마트폰을 들고 카메라처럼 팔을 뻗고 있으며, 한 남성은 변기 옆 단상에 쪼그려 앉아 창문 쪽으로 손을 뻗고 있습니다. 하얀 타일 벽면에는 옷가지와 수건이 걸려 있고, 바닥에는 세제와 세면 용품들이 놓여 있습니다. 좁고 오래되어 보이는 공간에는 변기와 거울, 보일러 등 다양한 물건들이 보입니다.",00:02:41.869,00:03:02.807
shot_021,"한 남성과 한 여성이 화장실 바닥에 웅크리고 앉아 있다.
두 인물 모두 스마트폰을 들고 화면을 응시하고 있다.
배경에는 변기가 보이며, 그 뒤편으로는 흰색 타일 벽과 작은 창문이 있다.
주변에는 생활용품이 놓인 선반과 휴지 걸이 등 여러 물건들이 보인다.",00:03:02.807,00:03:08.145
shot_022,"나무 바닥 위로 한 인물의 손과 발이 보이며, 그 앞에 사각형의 상자가 놓여 있다.
상자는 초록색과 노란색이 섞여 있고, 뚜껑에는 음식 사진과 그림이 인쇄되어 있다.
한 손이 상자의 덮개 부분에 닿아 있으며, 주변 바닥에는 여러 개의 불규칙한 형태의 흰색 종이 조각들이 흩어져 있다.
전체적으로 근접 촬영된 구도로, 바닥에 놓인 사물들과 인물의 하반신이 화면에 담겨 있다.",00:03:08.145,00:03:11.315
shot_023,"한 남성이 실내 공간에서 고개를 숙이고 무언가를 응시하고 있다.
그는 양손으로 어두운색의 직사각형 물체를 들고 있으며, 입술을 오므린 채 아래를 바라보고 있다.
배경에는 벽에 걸린 액자, 천장의 형광등, 그리고 벽에 부착된 수납장 등이 보인다.
수납장 아래로는 여러 개의 상자들이 쌓여 있고 다양한 물건들이 주변에 놓여 있어 다소 어수선한 환경을 이루고 있다.",00:03:11.315,00:03:18.531
shot_024,"거친 나무 재질의 바닥 위에 휴대전화 한 대가 놓여 있으며, 주변에는 여러 조각들이 흩어져 있습니다. 휴대전화 화면에는 분홍색 상의를 입은 한 여성이 실내에서 물건들을 들고 있는 모습이 보입니다. 휴대전화 주변에는 톱니 모양의 가장자리를 가진 연한 색깔의 종이 또는 판지 조각들이 불규칙하게 놓여 있습니다. 화면 왼쪽 아래에는 흐릿하게 처리된 피부색 물체가 일부 화면을 가리고 있습니다.",00:03:18.531,00:03:23.119
shot_025,"네 명의 인물이 실내 공간에서 나란히 앉아 있거나 웅크리고 있다.
좌측의 한 남성은 아래쪽을 바라보고 있으며, 그 옆의 또 다른 남성은 고개를 숙이고 있다.
우측의 두 여성은 모두 시선을 위로 향하고 있다.
인물들 뒤편으로는 여러 개의 피자 상자가 쌓여 있다.",00:03:23.119,00:03:27.957
shot_026,"낡은 창틀과 격자무늬 유리창 너머로 외부 풍경이 보인다.
창문 안쪽에는 여러 켤레의 양말이 걸려 있으며, 창밖의 좁은 골목길에는 복잡하게 얽힌 전선들이 하늘을 가로지른다.
골목 양쪽으로는 건물들이 늘어서 있고, 중앙에는 자욱한 흰 연기 또는 증기가 피어오르고 있다.
연기 속에 모자와 마스크를 착용한 한 인물이 서 있으며, 그 옆에는 손수레로 보이는 물체가 놓여 있다.",00:03:27.957,00:03:30.835
shot_027,"어두운 실내 공간에 여러 인물이 모여 있다. 화면 왼쪽의 한 남성은 아래를 향해 몸을 숙이고 있고, 중앙의 다른 남성은 위를 올려다보고 있다. 그 뒤로 한 여성의 상반신이 보이며, 오른쪽에는 또 다른 여성이 왼쪽을 향해 고개를 돌리고 있다. 배경에는 다양한 물건들이 쌓여 있는 모습이 보인다.",00:03:30.835,00:03:34.255
shot_028,"어두운 실내에서 창문 밖을 바라보는 장면이 담겨 있습니다. 창문은 여러 개의 작은 직사각형 유리 조각과 어두운 색 프레임으로 구성되어 있으며, 외부의 흐린 하늘이 비칩니다. 창문 왼쪽에는 둥근 철제 건조대에 양말 여러 켤레가 걸려 있습니다. 창문 아래쪽 벽면은 어둡고 다소 거친 질감을 보입니다.",00:03:34.255,00:03:38.676
