shot_id,caption,stt_text,audio_tags,start_time,end_time
shot_012,"기우가 실내에서 위를 향해 스마트폰을 들고 서 있다.
그는 입을 살짝 벌린 채 스마트폰 화면을 올려다보고 있으며, 회색 셔츠를 입고 있다.
배경에는 창문으로 외부의 빛이 들어오고, 옷가지들이 걸려 있는 행거와 여러 물건들이 놓여 있다.
전반적으로 실내 공간은 다소 어두운 분위기를 띤다.",아 망했다 이거 공짜 발표 못 쓴다 이제 야 기정아 어 야 윗집 아줌마는 IP타임 암호를 거셨다 드디어 아 암호 이래서 구까지 눌러봤어? 어어 안돼 반대 순서로도 해봐 아 안된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안되는 거야? 그치 야 김기태 이 씨발 잘 척하지 말고,"Speech, Music",00:01:41.309,00:01:52.862
shot_013,"어두운 실내 공간에서 긴 머리를 가진 한 여성이 등을 보이며 서 있다. 여성은 연한 색 상의를 입고 있으며, 그녀의 머리카락은 어깨 아래로 길게 늘어져 있다. 배경에는 옷가지와 여러 물건들이 쌓여 있는 듯한 어수선한 수납 공간이 보인다. 전체적으로 어둡고 다소 흐릿한 분위기의 장면이다.",아 망했다 이거 공짜 발표 못 쓴다 이제 야 기정아 어 야 윗집 아줌마는 IP타임 암호를 거셨다 드디어 아 암호 이래서 구까지 눌러봤어? 어 안 돼 반대 순서로도 해봐 아 안 된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안 되는 거야? 그치 야 김기태 이 씨발 잘 척하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 이 씨발 개에게 뭐야?,"Music, Speech",00:01:52.862,00:01:54.239
shot_014,"실내 공간에서 세 사람이 바닥에 앉거나 누워 있다.
오른쪽에 앉아있는 충숙은 밝은 연두색 상의를 입고 붉은색 실로 뜨개질을 하고 있다.
화면 왼쪽에는 휴대폰을 들고 있는 한 남성이 보이며, 그 뒤편으로는 한 사람이 바닥에 옆으로 누워 있다.
주변에는 선풍기, 어두운색 옷장, 그리고 뜨개질한 것으로 보이는 여러 색깔의 물건들이 놓여 있다.",야 기정아 어 야 윗집 아줌마는 ip타임 암호를 거셨다 드디어 아 암호 1에서 9까지 눌러봤어? 어어 안돼 반대 순서로도 해봐 아 안된다니까 아이씨 뭐야 그럼 그 문자도 카톡이고 다 안되는거야? 그치 야 김기택 이 씨X 잘한척 하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 씨X 개여기 뭐야? 응?,"Speech, Music",00:01:54.239,00:02:07.335
shot_015,"충숙은 바닥에 앉아 붉은색 실을 만지고 있다. 문 안쪽 공간에서는 한 남성이 휴대폰으로 보이는 물체를 들고 서 있다. 화면 오른쪽 아래에는 한 사람이 누워있고, 그 뒤로는 옷가지들이 걸린 행거가 보인다. 전체적으로 어두운 실내에서 여러 사람들이 각자의 모습으로 있다.","어, 안 돼. 반대 순서로도 해봐. 안 된다니까. 뭐야 그럼. 그 문자도 카톡이고 다 안 되는 거야? 그치. 야, 김기택. 이 씨X 잘한 척하지 말고. 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 이 씨X 개그기 뭐야? 응? 기우야. 예, 아버지. 와이파이 높게 들어야 돼, 높게.","Speech, Music",00:02:07.335,00:02:18.304
shot_016,"콘크리트 질감의 벽에 두 개의 액자가 나란히 걸려 있습니다.
왼쪽 액자에는 삼색 리본이 달린 은메달과 함께 대회의 정보가 적힌 명패가 전시되어 있습니다.
오른쪽 액자 속 사진에는 붉은색 상의와 어두운색 하의를 입고 등번호 '474'가 새겨진 한 여성이 투척 운동을 하는 모습이 담겨 있습니다.
이 여성은 야외 운동장으로 보이는 곳에서 몸을 회전하며 오른손으로 투척 도구를 높이 들어 올리는 동작을 취하고 있습니다.",반대 순서로도 해봐 아 안된다니까 뭐야 그럼 그 문자도 카톡이고 다 안되는거야? 그치 야 김기택 이 씨X 잘한 척 하지 말고 어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 계획이 뭐야? 응? 기호야 예 아버지 와이파이 높게 들어야 돼 높게 구석구석 사사시켜야 돼,"Music, Speech",00:02:18.304,00:02:21.933
shot_017,"실내 공간에서 기우는 휴대전화를 양손으로 들고 아래를 내려다보고 있으며, 기택은 식탁에 앉아 빵 봉투를 만지고 있다. 기우 뒤편으로는 옷가지가 걸려 있고 여러 상자들이 쌓여 있다. 기택 옆으로는 가스레인지가 놓인 주방 공간과 선반에 다양한 물건들이 보인다. 두 사람 사이의 식탁 위에는 물병과 컵 하나가 놓여 있다.",어떻게 생각하셔? 핸드폰도 다 끊기고 와이파이도 다 끊기고 응? 씨발 개그기 뭐야? 응? 기우야 와이파이 높게 들어야 돼 높게 구석구석 사사시켜야 돼 아우 씨 꼭둥이 어? 여기,"Speech, Music",00:02:21.933,00:02:28.022
shot_018,"어두운 복도에서 한 손이 스마트폰을 들고 있다.
스마트폰 화면은 밝게 켜져 있으며, 여러 줄의 텍스트가 표시되어 있다.
복도 천장에는 여러 가닥의 전선이 지나가고 있으며, 가운데에는 희미하게 빛나는 전등이 보인다.
복도 벽은 연한 색이며, 오른쪽으로는 문이 열려 있는 모습이 보인다.",응? 기우야 예 아버지 와이파이 높게 들어야 돼 높게 구석구석 살살 해야 돼 꼭둥이 어 여기 잡힌다 진짜? 잡혔어? 어 잡히지 이거 이거 커피나라 2지 이 근처에 카페 새로 생긴건가? 뭐야 왜 나 안 잡히지? 일로 탁상 올라와봐 얘들아 되는거야? 어 돼 아 그러면은 카톡 한번 확인해봐 피자시대 연락준다 그랬거든,"Speech, Music",00:02:28.022,00:02:32.610
shot_019,"한 남성이 실내에서 식사 중인 모습이 클로즈업되어 있다. 그의 오른손에는 한 입 베어 물어 내용물이 보이는 빵이 들려 있고, 왼손은 테이블 위에서 살짝 구부린 채 놓여 있다. 테이블 위에는 투명한 비닐에 싸인 샌드위치와 물병이 놓여 있으며, 뒤쪽으로는 가구의 일부가 흐릿하게 보인다. 전체적으로 어두운 조명 아래에서 촬영된 장면이다.",이호야. 예 아버지. 와이파이. 높게 들어야 돼 높게. 구석구석 그 사사시... 그저 이... 해야 돼. 아우씨. 꼭둥이게. 어? 여기! 잡힌다! 진짜? 잡혔어? 어. 잡히지? 이거. 커피나라 투지. 이 근처에 카페 새로 생긴 건가? 뭐야? 왜 다 안 잡히지? 일로 바싹 올라가 봐. 얘들아. 되는 거야? 어. 돼. 자 그러면은 카톡 한 번 확인해 봐. 피자 시대 연락 준다 그랬거든. 어. 잠깐만. 어. 여깄네. 피자 시대.,"Speech, Music",00:02:32.610,00:02:41.869
shot_020,"기정은 스마트폰을 든 채 팔을 뻗고 서 있고, 그 옆에는 기우가 변기 옆 계단에 쭈그려 앉아 스마트폰을 들고 있습니다. 두 사람은 흰색 타일로 마감된 벽과 계단식 바닥이 있는 좁은 욕실에 있습니다. 욕실 내부에는 변기, 세제통, 수도관, 거울, 수건 등 다양한 생활용품들이 복잡하게 놓여 있으며, 벽면 타일은 오래되어 여러 곳에 얼룩이 있습니다. 천장에는 전구가 매달려 있고, 전반적으로 어두운 조명 아래에 있습니다.",구석구석 살살 씻듯이 해야 돼. 아이씨. 꼭둥이. 어 여기 잡힌다. 진짜 잡혔어? 어 잡히지 이거 커피 나라 2지. 이 근처에 카페 새로 생긴 건가? 뭐야 왜 나 안 잡히지? 일로 다싹 올라와봐. 얘들아 되는 거야? 어 돼. 그러면은 카톡 한 번 확인해봐. 피자시대 연락 준다 그랬거든. 어 잠깐만. 어 여깄네 피자시대.,"Speech, Music",00:02:41.869,00:03:02.807
shot_021,"기정과 기우가 어두운 욕실 바닥에 쪼그리고 앉아 있다. 두 사람 모두 스마트폰을 들고 화면을 응시하고 있으며, 입을 살짝 벌리고 있다. 기정은 기우의 왼쪽에 위치하고 있고, 기우는 변기 옆에 앉아 있다. 주변에는 흰색 타일 벽과 변기, 그리고 여러 생활용품이 놓인 선반이 보인다.",. . . . . . . . . . . . . . . . . . . . . . . .,"Speech, Inside, small room",00:03:02.807,00:03:08.145
